barangay hh_id hh_size organic paper plastic metal others total av_kg_per_day av_g_per_day
Capitol_Site H/H/1 7 5.25 2.25 2.25 0 0 9.75 1.39 1,390 
Capitol_Site H/H/2 4 6.5 2.5 2.25 0 5 16.25 2.32 2,320 
Capitol_Site H/H/3 6 6.5 2 2 0 7 17.5 2.5 2,500 
Capitol_Site H/H/4 3 8.25 2 2.25 0 0 12.5 1.79 1,790 
Capitol_Site H/H/5 9 9 2 2 0 0 13 1.86 1,860 
Capitol_Site H/H/6 3 5.75 1 2 0 5 13.75 1.96 1,960 
Capitol_Site H/H/7 10 10 2 2 0 26.5 40.5 5.79 5,790 
Capitol_Site H/H/8 4 6.75 2 2 0 4 14.75 2.11 2,110 
Capitol_Site H/H/9 5 7.5 2 2 0 4 15.5 2.21 2,210 
Capitol_Site H/H/10 6 6 1.25 2 0 3 12.25 1.75 1,750 
Capitol_Site H/H/11 8 5.5 3.15 2 0 0 10.65 1.52 1,520 
Capitol_Site H/H/12 9 5 2.5 2.5 0 0 10 1.43 1,430 
Capitol_Site H/H/13 6 7 2.25 2.25 0 0 11.5 1.64 1,640 
Capitol_Site H/H/14 5 5.5 2.25 2 0 3 12.75 1.82 1,820 
Capitol_Site H/H/15 1 4.25 2.25 2.25 0 0 8.75 1.25 1,250
Sawang_Calero H/H/1 5 2 3.25 2 0 2 9.25 1.32 1,320 
Sawang_Calero H/H/2 10 2 0.75 1.75 0 1.5 6 0.86 860 
Sawang_Calero H/H/3 7 2.25 1.75 1.25 0 1.25 6.5 0.93 930 
Sawang_Calero H/H/4 8 1 0.75 0.85 0 2.75 5.35 0.76 760 
Sawang_Calero H/H/5 2 2.5 0.5 1.25 0 0.75 5 0.71 710 
Sawang_Calero H/H/6 6 2.85 0.75 0.5 0 4.5 8.6 1.23 1,230 
Sawang_Calero H/H/7 6 1.45 0.15 1.25 0 1.15 4 0.57 570 
Sawang_Calero H/H/8 9 1.85 0.5 1.25 0 3.15 6.75 0.96 960 
Sawang_Calero H/H/9 2 1.25 0.75 0.5 0 1.25 3.75 0.54 540 
Sawang_Calero H/H/10 6 4 0.6 0.25 0 1.5 6.35 0.91 910 
Sawang_Calero H/H/11 8 3.25 0.1 0.6 0 1.15 5.1 0.73 730
Sawang_Calero /H/12 5 2 1.5 1.25 0 2.75 7.5 1.07 1,070 
Sawang_Calero H/H/13 6 1.9 0.5 2 0 0.75 5.15 0.74 740 
Sawang_Calero H/H/14 2 2.35 0.15 1.15 0 0 3.65 0.52 520 
Sawang_Calero H/H/15 14 1.75 0.65 0.65 0.25 0.75 4.05 0.58 580 
Sawang_Calero H/H/16 7 7.75 0.25 0.8 0 0.8 9.6 1.37 1,370 
Sawang_Calero H/H/17 4 1.25 0.85 0.5 0 0.85 3.45 0.49 490 
Sawang_Calero H/H/18 11 1.75 0 1.15 0 2.75 5.65 0.81 810 
Sawang_Calero H/H/19 2 1.5 0.75 1.25 0 0.25 3.75 0.54 540 
Sawang_Calero H/H/20 8 6.25 0.75 0.5 0 2.75 10.25 1.46 1,460 
Mambaling H/H/1 11 2.5 0.25 0.25 0.75 4.25 8 1.14 1,140 
Mambaling H/H/2 2 3.5 0.75 0.9 0 4.75 9.9 1.41 1,410 
Mambaling H/H/3 10 3.35 0.25 1.75 0.25 1.25 6.85 0.98 980 
Mambaling H/H/4 7 2.65 0.25 1.65 0 2.25 6.8 0.97 970 
Mambaling H/H/5 4 2.35 1 1.35 0.25 1.45 6.4 0.91 910 
Mambaling H/H/6 9 3.75 0.65 3.5 0.5 2 10.4 1.49 1,490 
Mambaling H/H/7 7 1.5 0.25 2.15 0.25 2.75 6.9 0.99 990 
Mambaling H/H/8 5 3 1.25 0.25 0.25 0.85 5.6 0.8 800 
Mambaling H/H/9 1 2.85 3 0.25 0.75 3.15 10 1.43 1,430 
Mambaling H/H/10 6 3.85 0.45 0.65 0.25 0.85 6.05 0.86 860 
Ermita H/H/1 4 2.15 0.65 0.65 0 2.45 5.9 0.84 840 
Ermita H/H/2 6 1.75 0.45 0.75 0 2.25 5.2 0.74 740 
Ermita H/H/3 13 1.85 0.75 0.45 0 2.25 5.3 0.76 760 
Ermita H/H/4 5 4 0.25 0.35 0 3.25 7.85 1.12 1,120 
Ermita H/H/5 6 1.65 0.25 1 0 2 4.9 0.7 700 
Ermita H/H/6 3 4.15 0.25 1 0 1.25 6.65 0.95 950 
Ermita H/H/7 4 1.65 0.5 0.45 0 1.75 4.35 0.62 620 
Ermita H/H/8 6 4.15 0.25 1.15 0 1.75 7.3 1.04 1,040 
Ermita H/H/9 4 1.75 0.75 0.85 0 4.35 7.7 1.1 1,100 
Ermita H/H/10 3 3.65 0 0.65 0 3.65 7.95 1.14 1,140 
Ermita H/H/11 3 2 0.25 0.8 0 1.5 4.55 0.65 650 
Ermita H/H/12 4 2.15 0.65 0.15 0 3.75 6.7 0.96 960 
Ermita H/H/13 7 1.65 0 1 0 4 6.65 0.95 950 
Ermita H/H/14 4 2.65 0.25 0.65 0 0.25 3.8 0.54 540 
Ermita H/H/15 2 1.5 0.15 0.85 0 3.75 6.25 0.89 890 
Ermita H/H/16 5 3.25 0.5 1.35 0 2 7.1 1.01 1,010 
Ermita H/H/17 6 4 0.5 0.5 0 3.75 8.75 1.25 1,250 
Ermita H/H/18 2 2.75 0.85 0.85 0 1.25 5.7 0.81 810 
Ermita H/H/19 2 3 0.15 0.75 0 3.5 7.4 1.06 1,060 
Ermita H/H/20 1 1.75 0.1 0.8 0 0.75 3.4 0.49 490
Mabolo H/H/1 3 16 7.5 9 0 9 41.5 5.93 5,930 
Mabolo H/H/2 3 10 2 1 2 0 15 2.14 2,140 
Mabolo H/H/3 3 10 4 3.5 0 6 23.5 3.36 3,360 
Mabolo H/H/4 2 11 6 6 1 10 34 4.86 4,860 
Mabolo H/H/5 8 13 6 6 0 4 29 4.14 4,140 
Mabolo H/H/6 3 9.5 3.5 1.5 0 0 14.5 2.07 2,070 
Mabolo H/H/7 4 8 3 4 4 0 19 2.71 2,710 
Mabolo H/H/8 4 14 7 4.5 0 3 28.5 4.07 4,070 
Mabolo H/H/9 8 9 8 5.5 1 5 28.5 4.07 4,070 
Mabolo H/H/10 6 11 3.5 1 0.5 4 20 2.86 2,860
Kamputhaw H/H/1 5 6.5 1.25 2 0 0 9.75 1.39 1,390 
Kamputhaw H/H/2 5 3 2.5 2.5 0 0 8 1.14 1,140 
Kamputhaw H/H/3 2 6 1.75 1.25 0 0 9 1.29 1,290 
Kamputhaw H/H/4 5 2 0 0 0 0 2 0.29 290 
Kamputhaw H/H/5 4 6.25 2.5 2.5 0 0 11.25 1.61 1,610 
Kamputhaw H/H/6 2 2 2.5 2.5 0 0 7 1 1,000 
Kamputhaw H/H/7 6 6 2.5 2.6 0 0 11.1 1.59 1,590 
Kamputhaw H/H/8 3 2.75 2.5 2.5 2 0 9.75 1.39 1,390 
Kamputhaw H/H/9 9 0 0 0 0 3 3 0.43 430 
Kamputhaw H/H/10 5 5.5 2.5 2.5 0 0 10.5 1.5 1,500 
Kamputhaw H/H/11 4 5 2.5 2.5 3 0 13 1.86 1,860 
Kamputhaw H/H/12 7 5.75 2.5 2.5 0 0 10.75 1.54 1,540 
Kamputhaw H/H/13 3 3 2.5 2.5 4 0 12 1.71 1,710 
Tinago H/H/1 3 8.5 5.5 5.5 0 12 31.5 4.5 4,500 
Tinago H/H/2 7 12 9 8 0 12 41 5.86 5,860 
Tinago H/H/3 5 9 6.5 7.5 0 13 36 5.14 5,140 
Tinago H/H/4 2 9.5 7 8.5 0 12 37 5.29 5,290 
Tinago H/H/5 2 8 9 9 0 15 41 5.86 5,860 
Tinago H/H/6 4 7.5 6 8.5 0 12 34 4.86 4,860 
Tinago H/H/7 5 9 5 7.5 0 11 32.5 4.64 4,640 
Tinago H/H/8 5 7.5 7.5 6.5 0 10 31.5 4.5 4,500 
Tinago H/H/9 3 9.5 6 7 0 12 34.5 4.93 4,930 
Tinago H/H/10 3 9 7 7 0 12 35 5 5,000 
Tinago H/H/11 4 7.5 8 6 0 11 32.5 4.64 4,640
Quiot H/H/1 2 1.15 0.8 1 0.15 4.25 7.35 1.05 1,050 
Quiot H/H/2 2 1.65 0.5 1.5 0 0.75 4.4 0.63 630 
Quiot H/H/3 1 2 1.5 2.5 0 1.25 7.25 1.04 1,040 
Quiot H/H/4 5 6 0.75 3 0 0.15 9.9 1.41 1,410 
Quiot H/H/5 3 1 1.25 0.25 0.1 0.1 2.7 0.39 390 
Quiot H/H/6 1 1.3 0.6 2.3 2 1.6 7.8 1.11 1,110 
Quiot H/H/7 3 4.25 1.5 0.6 0.15 2 8.5 1.21 1,210 
Quiot H/H/8 2 1.8 0.3 0.2 1.1 0.75 4.15 0.59 590 
Quiot H/H/9 2 1.5 0.75 0.3 0 1.25 3.8 0.54 540 
Quiot H/H/10 11 6.8 0.5 1.35 0.15 0.75 9.55 1.36 1,360 
Quiot H/H/11 6 0.8 0.3 0.8 0 2.75 4.65 0.66 660 
Quiot H/H/12 8 3.75 1.25 0.35 0 0 5.35 0.76 760 
Quiot H/H/13 6 3.5 1 0.15 0.15 1.3 6.1 0.87 870 
Quiot H/H/14 2 0.5 0.75 0.5 0 2.5 4.25 0.61 610 
Quiot H/H/15 3 1 1.3 0.5 0.75 1.75 5.3 0.76 760 
Quiot H/H/16 5 1.5 0.15 1.3 0 1.25 4.2 0.6 600 
Quiot H/H/17 4 0.75 0.5 0.15 0.15 0.8 2.35 0.34 340 
Quiot H/H/18 6 3.3 0.6 1.3 0.75 3 8.95 1.28 1,280 
Quiot H/H/19 10 1.6 1 1.3 0.3 2.5 6.7 0.96 960  
