barangay pop_2000 pop_2010 annual_growth_rate hhold_pop num_hholds ave_hhold_size median_age land_area pop_density
Adlaon 2,847 3,647 2.51 3,647 848 4.3 23 7.46 489
Agsungot 1,746 1,981 1.27 1,981 461 4.3 23 6.29 315
Apas 15,492 22,566 3.83 22,463 4,925 4.6 24 0.49 46,053
Bacayan 8,604 14,021 5.00 14,021 3,286 4.3 24 1.22 11,493
Banilad 5,220 9,903 6.61 9,299 2,003 4.6 25 1.51 6,558
Basak_Pardo 13,925 17,756 2.46 17,753 3,793 4.7 23 0.49 36,237
Basak_San_Nicolas 31,840 34,313 0.75 34,298 7,553 4.5 25 1.15 29,837
Binaliw 2,518 2,722 0.78 2,722 626 4.3 25 6.69 407
Bonbon 4,343 5,014 1.45 5,014 1,044 4.8 21 10.92 459
Budla-an 2,397 5,100 7.84 5,097 1,037 4.9 22 4.88 1,045
Bulacao 19,887 26,820 3.04 26,804 5,859 4.6 24 3.82 7,021
Buot-Taup_Pardo 1,678 2,203 2.76 2,203 446 4.9 20 13.75 160
Busay 7,244 11,335 4.58 11,335 2,478 4.6 24 5.67 1,999
Calamba 10,534 12,417 1.66 12,417 2,773 4.5 24 0.53 23,428
Cambinocot 2,271 2,658 1.59 2,658 619 4.3 23 8.15 326
Kamputhaw  17,867 21,765 1.99 21,711 5,373 4.0 26 0.85 25,606
Capitol_Site  12,477 15,308 2.07 15,188 3,801 4.0 25 0.82 18,668
Carreta 7,106 11,211 4.67 11,186 2,821 4.0 21 0.33 33,973
Central  1,334 1,568 1.63 1,545 370 4.2 23 0.18 8,711
Cogon_Pardo 9,170 7,805 -1.60 7,805 2,432 3.2 30 0.56 13,938
Cogon_Ramos  3,282 3,337 0.17 3,257 872 3.7 27 0.16 20,856
Day-as 3,174 4,851 4.33 4,833 1,096 4.4 26 0.18 26,950
Duljo  15,223 16,387 0.74 16,377 3,442 4.8 24 0.33 49,658
Ermita  7,995 8,291 0.36 8,274 1,843 4.5 21 0.41 20,222
Guadalupe 45,012 60,400 2.98 60,185 13,720 4.4 25 9.91 6,095
Guba 4,149 4,771 1.41 4,769 1,198 4.0 25 7.55 632
Hippodromo 9,408 9,673 0.28 9,648 2,130 4.5 25 0.50 19,346
Inayawan 16,148 28,329 5.78 28,329 6,129 4.6 23 1.30 21,792
Kalubihan  611 563 -0.81 552 150 3.7 24 0.08 7,038
